id,redemption_status
3,-2.685807377845626
5,-1.2456787295662466
16,-8.03216452021763
31,-8.135851315620105
38,-8.458231218606166
149,-3.160321213792493
185,-10.531716405543293
189,-7.530733249858881
204,-4.099123641489074
212,-7.785600555028763
227,-4.827271268823429
249,-3.317223543684242
281,-8.35190800881929
296,-4.401158142999755
327,-6.6555563868696535
333,-9.938924532304506
339,-7.781152753333527
377,-5.296135005449264
399,-5.031521191874414
405,-8.182719103644327
432,-7.157919803301054
464,-7.129864491480828
556,-7.9181995035409845
573,-10.827817636840813
595,-4.145025474663205
637,-8.478405972271648
676,-1.9066467553225146
685,-8.508753479523385
726,-9.791374246557524
727,-8.267533126655039
807,-6.316725189532814
818,-9.01080202175734
845,-5.19429056285118
849,-8.208497726211906
864,-6.792500561193242
865,-8.524059619259724
866,-8.429431542753381
918,-6.972160986966304
937,-4.435098506246499
939,-6.458625515411282
947,-3.8257303822105526
964,-8.056577101943294
971,-5.880667074879708
992,-5.651657951502726
1029,-3.987865807872293
1055,-5.26800897389824
1111,-6.891815165405046
1125,-7.4674944922275035
1208,-8.7524281332416
1215,-10.371609427722223
1217,-7.512942385741755
1219,-11.501737055041541
1267,-7.166807583939731
1276,-12.152783149457878
1278,-8.48363192814306
1284,-7.591136168925308
1295,-5.088210566828506
1323,-5.3181410934146225
1338,-6.912715946211219
1367,-7.725611218253746
1417,-1.5732983221571604
1450,-5.3248950965293975
1454,-9.658361919512112
1462,-5.383479086599851
1468,-7.972844554106755
1482,-4.760769327087137
1494,-8.052787950083932
1495,-3.006188318393318
1521,-6.367768651186748
1589,-7.326430488463416
1602,-7.153960154701376
1620,-7.537737529110741
1622,-8.786263941792095
1636,-7.890272194788454
1643,-8.961474295010841
1645,-5.509886222565407
1651,-8.500651369502439
1666,-6.812776919326358
1673,-8.104302881489641
1674,-2.730399522451482
1703,-5.738816045522183
1716,-3.6008370560837895
1740,-1.9206594566160766
1759,-7.413758346960934
1800,-8.333376204752003
1808,-6.807512889678537
1822,-7.270476700303933
1882,-9.474482602708818
1887,-4.191304891326693
1938,-4.069939268282099
1985,-6.897991866402185
1993,-8.730497268774249
2000,-8.232596612772014
2009,-7.29209411505239
2014,-4.3557817484305
2046,-3.794576700759167
2074,-7.1629173250420095
2083,-8.489723245848698
2107,-7.473002895620455
2109,-8.553679590762092
2144,-8.476115851080475
2181,-11.158902522371957
2250,-4.49194181400892
2256,-8.405833601093356
2298,-8.408098300467618
2414,-6.93152837159834
2415,-3.9687474696739775
2429,-4.107065600715785
2472,-3.82540302591181
2499,-8.395671089608268
2540,-8.007350480198381
2556,-6.869717948176898
2566,-11.680274361084603
2593,-8.813842304199856
2606,-6.55361186389364
2609,-7.751240994689949
2633,-3.7808272563018273
2680,-7.0313106769271725
2728,-5.653696237024961
2744,-11.316470073648853
2745,-7.117460976351486
2773,-6.454873536607127
2774,-8.6064025787973
2790,-5.6510956419946545
2792,-3.6673583781062127
2799,-8.191957868550618
2805,-7.834736584018185
2846,-3.3139614935523305
2854,-9.470185220651803
2912,-4.494907317437104
2933,-2.8302699570514758
2943,-6.542525407761967
2948,-8.743064064892593
2958,-4.264955376981717
2967,-8.887253985138866
2974,-6.777682870737948
2996,-7.090525883517579
3076,-5.770769517191914
3081,-3.0955162502289184
3106,-5.166255582442853
3111,-6.2362907007118045
3120,-8.201581361694934
3123,-7.7783529023219256
3129,-5.113052848039338
3148,-4.84731286475289
3152,-6.391441154257105
3200,-6.808386866202097
3234,-5.638772244644595
3239,-8.162752764363644
3250,-6.7454195324603745
3266,-7.993849670556436
3271,-10.44093273453413
3279,-8.639779431830078
3280,-7.205097326644679
3294,-7.459096503495033
3302,-6.219501176051992
3321,-6.02024803655593
3327,-10.73703396583165
3360,-3.083727164326887
3371,-3.1607804803425745
3433,-5.1828428895488035
3434,-3.7536058021869274
3473,-5.290158356710366
3475,-6.780878039707247
3546,-5.527874080038434
3618,-2.7449004068007388
3668,-5.95076252106089
3709,-2.695822569316335
3722,-6.66275374365087
3768,-7.335896698337256
3775,-5.861069900025638
3794,-7.497851139986622
3818,-3.1644512860322234
3827,-6.073808291211664
3847,-9.023634118417235
3856,-5.287618810580637
3876,-5.163137716092946
3890,-8.853734027154966
3936,-7.917636317307736
3952,-8.679163294970627
3994,-4.213003965684473
4030,-7.790292310048683
4039,-5.897796714246631
4040,-3.9925330878707532
4126,-10.001813113174245
4130,-3.828956656469619
4140,-2.075794248212604
4163,-1.8138036687200354
4205,-5.710809569676532
4233,-3.537452887529907
4242,-8.113203863078372
4252,-9.865368372092082
4271,-8.17707529895806
4301,-1.9037660017747045
4335,-6.663276613318972
4351,-3.9997090838042744
4367,-7.239976795345013
4380,-8.47180646904142
4414,-4.821651158162544
4415,-7.009576039528699
4416,-9.747434025191705
4488,-10.769531825347274
4491,-8.766385243063839
4495,-6.444583564621785
4549,-7.3829655212467005
4575,-6.938022429588851
4612,-5.8427426489246885
4652,-5.467346149372444
4683,-5.727410540241722
4728,-4.350439140450932
4733,-8.955101651122458
4734,-8.088385320369758
4743,-8.105953120003628
4752,-9.207283654510473
4756,-6.562943779925462
4763,-7.97468071609204
4774,-4.128910959038073
4803,-7.210869572432162
4839,-8.739633777085736
4846,-8.208063470273405
4847,-6.631493077965173
4866,-8.746755142865457
4870,-5.387536443294545
4883,-5.547362011979008
4900,-4.809294490207526
4992,-8.363353375808222
5021,-8.64178411856443
5059,-8.888816477176999
5072,-5.444528667746677
5179,-8.405986617332745
5201,-3.451200560412339
5205,-8.052592787486228
5208,-7.694502500185574
5236,-11.285503829606261
5263,-8.291515639688326
5290,-7.912276530543599
5297,-6.280430350257328
5301,-5.7444799080341244
5361,-7.963802388918576
5378,-9.056235836962747
5381,-5.8740876803774835
5388,-7.096721107066436
5424,-5.017823835176341
5427,-3.520881688402054
5431,-8.70573531549678
5443,-6.223664751470452
5451,-5.486609670886457
5458,-5.7745677009024075
5464,-3.801260770866223
5473,-8.277869612339007
5492,-2.655963899159013
5570,-3.6037924351660457
5592,-10.047155882383766
5597,-7.651084268010313
5642,-6.525184503716048
5718,-3.2402585949285916
5723,-6.943091575956598
5748,-3.4104577184316027
5842,-8.063126134347927
5902,-7.199908625929531
5964,-7.313907947392312
5992,-7.180154738466145
6015,-8.086061974808235
6021,-10.308977315378034
6045,-6.538675216975056
6057,-8.369609485874511
6081,-6.90629777478882
6108,-6.289595153384413
6214,-4.535145897866059
6258,-7.428989556496774
6266,-5.479255247970437
6301,-5.966349975223616
6306,-6.625379416910197
6312,-9.69333666130338
6320,-4.321360601238162
6332,-3.860412389040029
6335,-6.203928935773999
6358,-4.907513228712678
6396,-3.4291551241002933
6411,-9.13100869920444
6444,-9.464869750765272
6457,-5.044269521748298
6464,-3.032094750547025
6536,-10.7848186863818
6574,-5.92245677062669
6576,-4.821651158162544
6607,-6.977977942590063
6608,-9.662096045737044
6610,-7.370690548092597
6616,-4.34414575448134
6631,-7.748432774779351
6658,-3.910886789381024
6671,-6.243465574883503
6673,-8.420059661541606
6681,-5.939498857791529
6705,-8.166079430927601
6718,-6.2258763257575715
6746,-3.962478799826375
6750,-6.305813437677705
6753,-8.746890222952231
6767,-7.250085971714671
6771,-7.517169357300342
6775,-11.049658154765918
6781,-7.910299577127854
6795,-2.737451985477482
6818,-5.642406592883466
6851,-7.9689894628672775
6879,-10.040654143108446
6892,-6.441985698664842
6966,-6.126532773047692
6980,-7.001592607271985
6992,-9.692178688891461
7023,-8.483091772933037
7029,-7.888025951394607
7054,-8.562692429718584
7059,-8.064539811408892
7071,-4.339085936436285
7072,-7.331885006858141
7090,-7.464603750240286
7095,-5.9989735048136135
7153,-8.167775612017882
7203,-6.402074444487712
7243,-9.258790118494222
7245,-7.893904334092149
7283,-5.0881512608059305
7286,-4.967063906430198
7290,-7.614039184722993
7323,-5.899882583325852
7334,-5.894875708901715
7339,-9.634599852005053
7382,-7.190925961653058
7417,-5.777132986888509
7457,-4.951399391170614
7476,-10.062594667063854
7498,-7.4165650654787445
7520,-5.493537268223682
7534,-2.2892406774828715
7539,-5.977571616056155
7597,-5.09432556220859
7625,-5.960578056446293
7632,-9.421241716520566
7697,-11.03440248849012
7721,-3.139402755627102
7725,-8.175931902477664
7743,-3.7931863262211047
7759,-8.010560527287868
7780,-7.39387431345876
7785,-4.478546301192462
7799,-2.6688175610436438
7809,-6.51222003617441
7818,-2.700244009909712
7827,-2.0769425064566787
7872,-4.618451717907875
7879,-8.318659726824723
7946,-3.732933524125662
7953,-1.8446467075182276
7955,-9.630656427388717
7977,-6.93666126869464
8048,-7.141018740947908
8052,-7.886306200108645
8059,-7.640422391710208
8070,-5.940768869006945
8079,-7.751522118713328
8084,-4.620776025471828
8089,-4.9478506202641475
8119,-8.057138466492509
8143,-5.521183582422561
8210,-7.986654146153531
8228,-6.45943713683527
8238,-7.589884868032688
8245,-6.1172215788562045
8266,-4.488397156234757
8293,-4.305193015670193
8296,-5.1793510577515445
8338,-6.5924518486665935
8349,-5.864467213394694
8352,-3.962204101281946
8369,-5.857413700811982
8390,-9.976151406583899
8408,-1.8639700816619844
8455,-9.065988069954566
8456,-6.261281853441092
8465,-1.1178363115607595
8466,-7.930003173845536
8474,-7.256501809357774
8545,-5.045104508776239
8554,-7.388270740070586
8562,-3.316945198877145
8579,-8.152082698504538
8628,-3.02648864241946
8632,-7.50377070032864
8650,-8.666778441147406
8698,-8.021100223795745
8728,-3.607536321227344
8762,-6.257204584867196
8791,-7.510372593454069
8816,-9.180195325621671
8935,-9.855397402105073
8954,-3.191891353204068
8965,-4.9326375107775835
8968,-1.35714540750014
9021,-5.997458243961036
9043,-5.279122952502875
9051,-1.1986890581289162
9067,-8.770355916915388
9114,-6.508719851018675
9130,-6.2009688831056895
9162,-7.072003832556353
9178,-8.93285044740807
9205,-8.36657432110613
9252,-8.864616503872307
9255,-4.312345759569688
9264,-7.631279946585609
9333,-5.949251058166828
9346,-8.365867288107122
9376,-9.925094821044556
9460,-5.770111562074879
9462,-7.125351378082374
9463,-7.248944082649061
9494,-8.839504010790204
9520,-7.984688005101314
9530,-9.146279078676281
9545,-9.387328750793086
9556,-10.154913819525913
9561,-7.479616981839811
9570,-2.915993095459749
9577,-4.799933844471253
9579,-7.630611866754609
9603,-6.359240827596741
9629,-1.8028335669153592
9655,-3.097358198648436
9657,-7.43958237810503
9673,-4.335706145870931
9693,-6.160605134486015
9713,-9.879684354905539
9719,-2.451523887491704
9744,-4.629726233650155
9755,-9.610161136100963
9771,-5.010500009210372
9780,-9.07942325738006
9817,-7.23653127902251
9824,-7.8312615042328035
9889,-7.756815938830224
9895,-8.728362380655188
9901,-3.012670580242877
9904,-7.550373708582515
9921,-6.844349906343863
9927,-3.9754463201120345
9944,-5.238070646287846
9949,-8.562902770700084
10007,-4.545164452342629
10016,-3.7807835820094065
10071,-3.0042773356504533
10093,-6.855083535650968
10154,-7.5303631128076365
10174,-5.929329058374451
10175,-6.393530060173915
10197,-7.196591541666431
10198,-8.02415095638051
10209,-4.434453785523175
10224,-8.338647871744216
10247,-7.827880777568841
10255,-4.3938904183803515
10282,-8.06386518362422
10296,-5.675253356852964
10310,-8.7629503561458
10312,-8.615183882347468
10373,-7.107610121309193
10377,-2.242214190064338
10379,-8.262224876718099
10421,-9.390805487987116
10422,-7.637055246022531
10428,-8.148609897817144
10465,-9.601383998180001
10468,-6.941076807116903
10525,-8.338161795983726
10541,-9.026780568250151
10561,-7.979015014725169
10570,-7.319022034659453
10603,-3.717817325896813
10609,-7.67848246772193
10648,-1.816166268255951
10654,-7.0604065995430485
10683,-3.057321229668609
10708,-8.431648323923094
10722,-6.354928200142838
10861,-11.117154059950881
10896,-6.245545245268327
10937,-1.7012873546138703
10945,-8.19845343144895
10953,-6.402022614008217
10965,-6.606630895722584
11004,-3.9849046496952
11008,-4.885417607940469
11061,-5.8457139273609595
11136,-6.313462264566443
11148,-6.491316544078238
11165,-5.3937199560387645
11229,-6.747879069236805
11250,-1.4405697285965486
11274,-3.3109709443723014
11288,-6.467646314173658
11313,-8.070382584166738
11353,-6.800820455675499
11369,-6.92815204473322
11389,-7.168722613851915
11439,-3.6337761118683276
11444,-9.77612655954805
11446,-8.281235936021499
11456,-6.346010181091783
11475,-7.6250749569771985
11491,-4.264105065831439
11514,-8.454939393786715
11526,-4.805608300201991
11532,-7.94390413551988
11534,-7.834736584018185
11538,-6.711152809557308
11551,-6.389640259850442
11564,-4.4283127573441
11583,-0.9521578288435025
11595,-3.6929277300421335
11598,-9.069331418857079
11638,-2.512330018276117
11697,-7.073841786968542
11703,-8.244770317154144
11716,-8.061254292157845
11732,-6.059100998568653
11743,-3.919740327478783
11822,-6.875976907244569
11829,-7.8267801305724705
11853,-2.673791299476473
11883,-4.133810502736811
11886,-5.045702632910493
11888,-9.472489330267303
11890,-6.6054754003865215
11898,-5.9953158181464
11913,-4.223091807515692
11925,-8.00556121187691
11964,-5.455690032392115
11965,-5.413861098435893
11968,-2.1356239755501543
11974,-5.793643626636645
11980,-6.017893824443737
12009,-8.090537044011835
12015,-11.31543143556245
12042,-9.12455483387325
12058,-5.108380891391027
12059,-5.507413018472979
12065,-6.769002532975887
12078,-7.252901684124697
12098,-6.769383931291886
12099,-4.712584319516969
12124,-9.563273001276468
12139,-5.357927010838513
12180,-2.861702651873939
12245,-8.873795356695386
12263,-5.425311912013051
12275,-7.788052056310619
12359,-7.4006683331491825
12403,-7.466125895646409
12405,-7.126463147388348
12414,-8.737271177225866
12485,-7.862702700190233
12520,-8.76648735161531
12525,-5.9506428492729375
12527,-4.024954187547995
12545,-7.038707876549236
12600,-6.512847938741854
12620,-6.9978448280327985
12622,-6.628799478068572
12642,-6.755426792755118
12644,-7.943222069524919
12647,-7.505725513371495
12694,-9.441629869382766
12717,-5.713422888524209
12720,-9.073647384738516
12726,-5.667588483362853
12744,-9.131753311388673
12773,-7.206722144512002
12823,-8.804232265375402
12824,-5.846499245549837
12846,-7.293552051585162
12856,-9.484435978050666
12862,-6.282368512257069
12913,-6.962222818262198
12915,-7.08764255334377
12937,-5.524035524326537
12958,-5.761143553929921
13000,-6.966738513707251
13027,-8.611631308389248
